"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"OAK","PHI","Chad Pinder","Jed Lowrie","Bryce Harper","J.T. Realmuto",18400,45.8,2.5
"PHI","WSH","Bryce Harper","J.T. Realmuto","Keibert Ruiz","Lane Thomas",18800,45.8,2.4
"ARI","PHI","Christian Walker","Seth Beer","Bryce Harper","Nick Castellanos",18800,45.8,2.4
"PHI","SF","Bryce Harper","J.T. Realmuto","Darin Ruf","Wilmer Flores",18700,45.8,2.4
"PHI","WSH","J.T. Realmuto","Nick Castellanos","Maikel Franco","Nelson Cruz",19200,45.7,2.4
"ARI","PHI","Daulton Varsho","David Peralta","J.T. Realmuto","Nick Castellanos",18900,45.7,2.4
"ARI","PHI","Ketel Marte","Pavin Smith","J.T. Realmuto","Nick Castellanos",19900,45.7,2.3
"LAA","PHI","Brandon Marsh","Jared Walsh","Bryce Harper","J.T. Realmuto",19300,45.7,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Austin Nola","Wil Myers",18500,45.7,2.5
"MIL","PHI","Kolten Wong","Rowdy Tellez","Bryce Harper","J.T. Realmuto",18500,45.7,2.5
"COL","PHI","Connor Joe","Kris Bryant","Bryce Harper","Kyle Schwarber",19800,45.7,2.3
"MIL","PHI","Andrew McCutchen","Rowdy Tellez","Bryce Harper","J.T. Realmuto",18800,45.7,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Austin Nola","Jake Cronenworth",19600,45.7,2.3
"PHI","SF","Bryce Harper","Jean Segura","Brandon Belt","Thairo Estrada",19800,45.7,2.3
"PHI","SD","Bryce Harper","J.T. Realmuto","Austin Nola","Luke Voit",18700,45.7,2.4
"OAK","PHI","Sean Murphy","Tony Kemp","Bryce Harper","Jean Segura",19100,45.7,2.4
"OAK","PHI","Seth Brown","Tony Kemp","Bryce Harper","Jean Segura",17700,45.7,2.6
"OAK","PHI","Sean Murphy","Seth Brown","J.T. Realmuto","Nick Castellanos",19800,45.7,2.3
"PHI","TB","Bryce Harper","Jean Segura","Brandon Lowe","Kevin Kiermaier",19300,45.7,2.4
"OAK","PHI","Elvis Andrus","Jed Lowrie","Bryce Harper","Nick Castellanos",19200,45.7,2.4
"HOU","PHI","Chas McCormick","Kyle Tucker","Bryce Harper","J.T. Realmuto",19800,45.7,2.3
"OAK","PHI","Chad Pinder","Tony Kemp","Bryce Harper","Nick Castellanos",18700,45.7,2.4
"PHI","SF","J.T. Realmuto","Nick Castellanos","Brandon Belt","Steven Duggar",19400,45.7,2.4
"PHI","TB","Bryce Harper","Jean Segura","Brandon Lowe","Josh Lowe",19200,45.7,2.4
"CIN","PHI","Jonathan India","Tommy Pham","Bryce Harper","J.T. Realmuto",18200,45.7,2.5
"LAD","PHI","Freddie Freeman","Will Smith","Bryce Harper","Jean Segura",19800,45.7,2.3
"LAD","PHI","Edwin Rios","Will Smith","Bryce Harper","Nick Castellanos",18400,45.7,2.5
"OAK","PHI","Jed Lowrie","Seth Brown","Bryce Harper","Kyle Schwarber",18700,45.7,2.4
"COL","PHI","Elias Diaz","Kris Bryant","Bryce Harper","J.T. Realmuto",19700,45.6,2.3
"LAA","PHI","Jared Walsh","Jose Rojas","Bryce Harper","Nick Castellanos",19300,45.6,2.4
"OAK","PHI","Billy McKinney","Elvis Andrus","Bryce Harper","J.T. Realmuto",17700,45.6,2.6
"PHI","WSH","Bryce Harper","Jean Segura","Maikel Franco","Nelson Cruz",18300,45.6,2.5
"ARI","PHI","Daulton Varsho","David Peralta","Bryce Harper","Jean Segura",18000,45.6,2.5
"ARI","PHI","Ketel Marte","Pavin Smith","Bryce Harper","Jean Segura",19000,45.6,2.4
"ATL","PHI","Austin Riley","Travis d'Arnaud","Bryce Harper","J.T. Realmuto",19500,45.6,2.3
"PHI","SF","Bryce Harper","Nick Castellanos","Mike Yastrzemski","Steven Duggar",19200,45.6,2.4
"PHI","WSH","Bryce Harper","Nick Castellanos","Cesar Hernandez","Keibert Ruiz",19800,45.6,2.3
"ARI","PHI","Daulton Varsho","Geraldo Perdomo","Bryce Harper","Nick Castellanos",19300,45.6,2.4
"MIL","PHI","Hunter Renfroe","Lorenzo Cain","Bryce Harper","Nick Castellanos",19900,45.6,2.3
"LAD","PHI","Edwin Rios","Mookie Betts","Bryce Harper","Nick Castellanos",19600,45.6,2.3
"PHI","SD","Bryce Harper","J.T. Realmuto","Ha-Seong Kim","Wil Myers",17700,45.6,2.6
"PHI","TB","Bryce Harper","Nick Castellanos","Ji-Man Choi","Kevin Kiermaier",19000,45.6,2.4
"CHC","PHI","Clint Frazier","Willson Contreras","Bryce Harper","J.T. Realmuto",19800,45.6,2.3
"MIL","PHI","Lorenzo Cain","Willy Adames","Bryce Harper","J.T. Realmuto",19600,45.6,2.3
"OAK","PHI","Sean Murphy","Seth Brown","Bryce Harper","Jean Segura",18900,45.6,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Ha-Seong Kim","Jake Cronenworth",18800,45.6,2.4
"OAK","PHI","Chad Pinder","Sean Murphy","Bryce Harper","Nick Castellanos",19900,45.6,2.3
"OAK","PHI","Chad Pinder","Seth Brown","Bryce Harper","Nick Castellanos",18500,45.6,2.5
"PHI","SD","Bryce Harper","J.T. Realmuto","Ha-Seong Kim","Luke Voit",17900,45.6,2.5
"PHI","TB","Bryce Harper","Nick Castellanos","Ji-Man Choi","Josh Lowe",18900,45.6,2.4
"PHI","SF","Bryce Harper","Jean Segura","Brandon Belt","Steven Duggar",18500,45.6,2.5
"ARI","PHI","Carson Kelly","David Peralta","Bryce Harper","J.T. Realmuto",19200,45.6,2.4
"BAL","PHI","Cedric Mullins","Trey Mancini","Bryce Harper","J.T. Realmuto",19400,45.5,2.3
"COL","PHI","C.J. Cron","Kris Bryant","Bryce Harper","Jean Segura",19300,45.5,2.4
"ATL","PHI","Adam Duvall","Marcell Ozuna","Bryce Harper","J.T. Realmuto",19500,45.5,2.3
"PHI","TB","Bryce Harper","J.T. Realmuto","Kevin Kiermaier","Mike Zunino",19500,45.5,2.3
"PHI","TB","Bryce Harper","Rhys Hoskins","Brandon Lowe","Taylor Walls",19900,45.5,2.3
"ARI","PHI","Daulton Varsho","Seth Beer","J.T. Realmuto","Nick Castellanos",18600,45.5,2.4
"OAK","PHI","Billy McKinney","Tony Kemp","Bryce Harper","Rhys Hoskins",17800,45.5,2.6
"PHI","SF","Bryce Harper","J.T. Realmuto","Joc Pederson","Thairo Estrada",19200,45.5,2.4
"ARI","PHI","David Peralta","Pavin Smith","Bryce Harper","Nick Castellanos",18900,45.5,2.4
"PHI","SD","Bryce Harper","Rhys Hoskins","Manny Machado","Wil Myers",19400,45.5,2.3
"COL","PHI","Connor Joe","Randal Grichuk","Bryce Harper","Nick Castellanos",19300,45.5,2.4
"PHI","TB","Bryce Harper","J.T. Realmuto","Josh Lowe","Mike Zunino",19400,45.5,2.3
"PHI","PIT","Bryce Harper","J.T. Realmuto","Ke'Bryan Hayes","Michael Chavis",19700,45.5,2.3
"PHI","SD","Bryce Harper","Nick Castellanos","Jake Cronenworth","Wil Myers",19500,45.5,2.3
"PHI","WSH","Bryce Harper","Rhys Hoskins","Cesar Hernandez","Lane Thomas",18600,45.5,2.4
"PHI","WSH","Bryce Harper","Nick Castellanos","Josh Bell","Maikel Franco",19900,45.5,2.3
"PHI","SD","Bryce Harper","Nick Castellanos","Luke Voit","Wil Myers",18600,45.5,2.4
"PHI","SD","Bryce Harper","Rhys Hoskins","Luke Voit","Manny Machado",19600,45.5,2.3
"LAD","PHI","Chris Taylor","Will Smith","Bryce Harper","Rhys Hoskins",19800,45.5,2.3
"MIL","PHI","Kolten Wong","Lorenzo Cain","Bryce Harper","J.T. Realmuto",18900,45.5,2.4
"PHI","SF","Bryce Harper","J.T. Realmuto","Darin Ruf","Thairo Estrada",19000,45.5,2.4
"MIL","PHI","Christian Yelich","Rowdy Tellez","Bryce Harper","Nick Castellanos",19700,45.5,2.3
"MIL","PHI","Andrew McCutchen","Lorenzo Cain","Bryce Harper","J.T. Realmuto",19200,45.5,2.4
"PHI","SD","Bryce Harper","Nick Castellanos","Jake Cronenworth","Luke Voit",19700,45.5,2.3
"PHI","SF","J.T. Realmuto","Kyle Schwarber","Brandon Belt","Joc Pederson",19500,45.4,2.3
"COL","PHI","Randal Grichuk","Ryan McMahon","Bryce Harper","J.T. Realmuto",19200,45.4,2.4
"HOU","PHI","Chas McCormick","Yuli Gurriel","Bryce Harper","J.T. Realmuto",18900,45.4,2.4
"ARI","PHI","Christian Walker","Daulton Varsho","J.T. Realmuto","Nick Castellanos",18400,45.4,2.5
