"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Brevin Jordan","TE","HOU",2500,2.36,0.9,"28793549","@BAL",43.5,10,16.75
"Chris Rodriguez","RB","WAS",4000,2.34,0.6,"28792481","ARI",38,-7,22.5
"JaMycal Hasty","RB","JAX",4200,2.33,0.6,"28792399","@IND",45,-5,25
"Marquise Goodwin","WR","CLE",3000,2.32,0.8,"28793141","CIN",47.5,2.5,22.5
"Josh Oliver","TE","MIN",2500,2.3,0.9,"28793487","TB",45.5,-6,25.75
"Cedric Tillman","WR","CLE",3200,2.21,0.7,"28792763","CIN",47.5,2.5,22.5
"Tommy Tremble","TE","CAR",2500,2.2,0.9,"28793559","@ATL",39.5,3.5,18
"Emari Demercado","RB","ARI",4000,2.14,0.5,"28792491","@WAS",38,7,15.5
"Jonnu Smith","TE","ATL",2700,2.13,0.8,"28793323","CAR",39.5,-3.5,21.5
"Ameer Abdullah","RB","LV",4100,2.09,0.5,"28792409","@DEN",44,4,20
"Brenton Strange","TE","JAX",2500,2.08,0.8,"28793499","@IND",45,-5,25
"Brycen Hopkins","TE","LAR",2800,1.94,0.7,"28793313","@SEA",46,5.5,20.25
"John Bates","TE","WAS",2500,1.89,0.8,"28793417","ARI",38,-7,22.5
"Justice Hill","RB","BAL",4000,1.88,0.5,"28792563","HOU",43.5,-10,26.75
"Ko Kieft","TE","TB",2500,1.86,0.7,"28793479","@MIN",45.5,6,19.75
"Josh Whyle","TE","TEN",2500,1.85,0.7,"28793465","@NO",41,3,19
"Tucker Kraft","TE","GB",2500,1.85,0.7,"28793401","@CHI",43,1,21
"Zach Evans","RB","LAR",4000,1.82,0.5,"28792417","@SEA",46,5.5,20.25
"Chris Evans","RB","CIN",4300,1.76,0.4,"28792389","@CLE",47.5,-2.5,25
"Charlie Kolar","TE","BAL",2500,1.68,0.7,"28793541","HOU",43.5,-10,26.75
"Velus Jones","WR","CHI",3000,1.61,0.5,"28792941","GB",43,-1,22
"Kyle Juszczyk","RB","SF",4000,1.59,0.4,"28792501","@PIT",41,-2,21.5
"River Cracraft","WR","MIA",3000,1.53,0.5,"28792875","@LAC",51,3,24
"Charlie Jones","WR","CIN",3000,1.42,0.5,"28793161","@CLE",47.5,-2.5,25
"Julius Chestnut","RB","TEN",4000,1.38,0.3,"28792521","@NO",41,3,19
"Anthony McFarland","RB","PIT",4000,1.18,0.3,"28792503","SF",41,2,19.5
"Brandon Bolden","RB","LV",4000,1.07,0.3,"28792447","@DEN",44,4,20
