"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Christian Yelich","Willy Adames",13800,28.1,2
"MIL","PIT - Brubaker ( R )","Christian Yelich","Hunter Renfroe","Kolten Wong",13500,28.1,2.1
"WSH","ARI - Gilbert ( L )","Alcides Escobar","Juan Soto","Nelson Cruz",15500,28.1,1.8
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Maikel Franco","Nelson Cruz",11800,28.1,2.4
"WSH","ARI - Gilbert ( L )","Juan Soto","Maikel Franco","Yadiel Hernandez",12200,28.1,2.3
"HOU","LAA - Sandoval ( L )","Jose Altuve","Yordan Alvarez","Yuli Gurriel",15100,28.1,1.9
"MIL","PIT - Brubaker ( R )","Christian Yelich","Kolten Wong","Willy Adames",13600,28,2.1
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Hunter Renfroe","Kolten Wong",13000,28,2.2
"PHI","@COL - Freeland ( L )","Didi Gregorius","Jean Segura","Matt Vierling",12300,28,2.3
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Enrique Hernandez","J.D. Martinez",15200,28,1.8
"ARI","@WAS - Adon ( R )","Carson Kelly","Daulton Varsho","Ketel Marte",12500,28,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","Garrett Stubbs","J.T. Realmuto",14400,28,1.9
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Simon Muzziotti",14100,28,2
"PHI","@COL - Freeland ( L )","Alec Bohm","J.T. Realmuto","Jean Segura",13700,28,2
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Kolten Wong","Willy Adames",13100,28,2.1
"WSH","ARI - Gilbert ( L )","Josh Bell","Juan Soto","Maikel Franco",14100,27.9,2
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","Lourdes Gurriel","Vladimir Guerrero Jr.",14800,27.9,1.9
"HOU","LAA - Sandoval ( L )","Kyle Tucker","Yordan Alvarez","Yuli Gurriel",14700,27.9,1.9
"TB","@CHC - Steele ( L )","Harold Ramirez","Mike Zunino","Wander Franco",13700,27.9,2
"ARI","@WAS - Adon ( R )","David Peralta","Ketel Marte","Pavin Smith",11900,27.9,2.3
"PHI","@COL - Freeland ( L )","Alec Bohm","Johan Camargo","Rhys Hoskins",12100,27.9,2.3
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Josh Bell","Yadiel Hernandez",11600,27.9,2.4
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","Raimel Tapia","Vladimir Guerrero Jr.",13900,27.9,2
"TB","@CHC - Steele ( L )","Brandon Lowe","Harold Ramirez","Wander Franco",14600,27.8,1.9
"ARI","@WAS - Adon ( R )","Daulton Varsho","Ketel Marte","Sergio Alcantara",11200,27.8,2.5
"COL","PHI - Gibson ( R )","C.J. Cron","Connor Joe","Sam Hilliard",11800,27.8,2.4
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","Didi Gregorius",14800,27.8,1.9
"MIL","PIT - Brubaker ( R )","Hunter Renfroe","Rowdy Tellez","Willy Adames",12200,27.8,2.3
"ARI","@WAS - Adon ( R )","David Peralta","Ketel Marte","Seth Beer",12300,27.8,2.3
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Christian Yelich","Kolten Wong",13200,27.8,2.1
"KC","MIN - Archer ( R )","Adalberto Mondesi","Salvador Perez","Whit Merrifield",15400,27.7,1.8
"HOU","LAA - Sandoval ( L )","Alex Bregman","Jose Altuve","Kyle Tucker",16200,27.7,1.7
"PHI","@COL - Freeland ( L )","Didi Gregorius","Johan Camargo","Matt Vierling",10500,27.7,2.6
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Lane Thomas","Nelson Cruz",12000,27.7,2.3
