"Pos","Player","Team","Opp","Salary","Proj","Value"
"RB","Jamaal Williams","DET","@NE",8300,13.36,1.6
"QB","Bailey Zappe","NE","DET",6300,13.01,2.1
"WR","CeeDee Lamb","DAL","@LAR",7200,12.95,1.8
"RB","Dameon Pierce","HOU","@JAX",7500,12.9,1.7
"WR","Marquise Brown","ARI","PHI",7800,12.87,1.6
"WR","Chris Godwin","TB","ATL",7000,12.85,1.8
"QB","Baker Mayfield","CAR","SF",6400,12.82,2
"RB","James Robinson","JAX","HOU",8000,12.81,1.6
"WR","Christian Kirk","JAX","HOU",7600,12.81,1.7
"WR","Chris Olave","NO","SEA",6900,12.66,1.8
"RB","Miles Sanders","PHI","@ARI",7600,12.63,1.7
"WR","Mike Williams","LAC","@CLE",7400,12.54,1.7
"WR","D.K. Metcalf","SEA","@NO",7100,12.46,1.8
"RB","Breece Hall","NYJ","MIA",6600,12.46,1.9
"RB","Rhamondre Stevenson","NE","DET",6000,12.05,2
"WR","Brandin Cooks","HOU","@JAX",6800,11.94,1.8
"WR","Drake London","ATL","@TB",6200,11.86,1.9
"RB","James Conner","ARI","PHI",6700,11.81,1.8
"RB","Devin Singletary","BUF","PIT",6000,11.81,2
"WR","Tyler Lockett","SEA","@NO",6800,11.72,1.7
"RB","Najee Harris","PIT","@BUF",6600,11.6,1.8
"WR","Gabe Davis","BUF","PIT",6000,11.43,1.9
"WR","Amari Cooper","CLE","LAC",7000,11.24,1.6
"WR","Terry McLaurin","WAS","TEN",6500,10.97,1.7
"RB","Rashaad Penny","SEA","@NO",6900,10.83,1.6
"WR","Curtis Samuel","WAS","TEN",5800,10.8,1.9
"WR","DeVonta Smith","PHI","@ARI",6600,10.77,1.6
"WR","Amon-Ra St. Brown","DET","@NE",8200,10.73,1.3
"RB","Raheem Mostert","MIA","@NYJ",5800,10.68,1.8
"WR","Adam Thielen","MIN","CHI",6300,10.63,1.7
"RB","Ezekiel Elliott","DAL","@LAR",6200,10.52,1.7
"WR","Diontae Johnson","PIT","@BUF",6700,10.45,1.6
