"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Yadiel Hernandez",7800,27.8,3.6
"CHC","@COL - Freeland ( L )","Clint Frazier","Michael Hermosillo","Yan Gomes",8000,27.8,3.5
"PIT","WAS - Adon ( R )","Anthony Alford","Bryan Reynolds","Dan Vogelbach",7100,27.8,3.9
"TEX","LAA - Ohtani ( R )","Corey Seager","Kole Calhoun","Willie Calhoun",7600,27.8,3.7
"LAD","CIN - Cessa ( R )","Gavin Lux","Hanser Alberto","Mookie Betts",8400,27.8,3.3
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jared Walsh","Kurt Suzuki",8500,27.8,3.3
"COL","CHC - Steele ( L )","Brendan Rodgers","Randal Grichuk","Sam Hilliard",8700,27.8,3.2
"COL","CHC - Steele ( L )","Alan Trejo","Connor Joe","Randal Grichuk",9100,27.7,3
"TOR","@NYY - Severino ( R )","Lourdes Gurriel","Matt Chapman","Santiago Espinal",8300,27.7,3.3
"TEX","LAA - Ohtani ( R )","Adolis Garcia","Marcus Semien","Willie Calhoun",8600,27.7,3.2
"WSH","@PIT - Brubaker ( R )","Dee Strange-Gordon","Keibert Ruiz","Nelson Cruz",7900,27.7,3.5
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Garrett Hampson",9500,27.7,2.9
"DET","@KC - Greinke ( R )","Austin Meadows","Harold Castro","Robbie Grossman",7700,27.7,3.6
"PIT","WAS - Adon ( R )","Bryan Reynolds","Dan Vogelbach","Michael Chavis",7900,27.7,3.5
"PIT","WAS - Adon ( R )","Bryan Reynolds","Jake Marisnick","Ke'Bryan Hayes",8300,27.7,3.3
"NYY","TOR - Gausman ( R )","Isiah Kiner-Falefa","Joey Gallo","Josh Donaldson",7900,27.7,3.5
"CIN","@LAD - Buehler ( R )","Joey Votto","Tommy Pham","Tyler Stephenson",9100,27.7,3
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Brandon Marsh","Jose Rojas",7400,27.7,3.7
"DET","@KC - Greinke ( R )","Austin Meadows","Eric Haase","Jeimer Candelario",8100,27.7,3.4
"TEX","LAA - Ohtani ( R )","Brad Miller","Kole Calhoun","Willie Calhoun",7200,27.7,3.8
"MIA","PHI - Gibson ( R )","Jacob Stallings","Jorge Soler","Miguel Rojas",7200,27.7,3.8
"ATL","@SD - Musgrove ( R )","Adam Duvall","Marcell Ozuna","Travis d'Arnaud",9100,27.7,3
"LAD","CIN - Cessa ( R )","Chris Taylor","Edwin Rios","Trea Turner",8700,27.7,3.2
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Garrett Stubbs","Kyle Schwarber",9200,27.7,3
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Kyle Schwarber","Simon Muzziotti",9200,27.7,3
"CIN","@LAD - Buehler ( R )","Jake Fraley","Jonathan India","Tommy Pham",8300,27.7,3.3
"PIT","WAS - Adon ( R )","Hoy Park","Ke'Bryan Hayes","Kevin Newman",7700,27.7,3.6
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jack Mayfield","Jared Walsh",8900,27.7,3.1
"COL","CHC - Steele ( L )","Connor Joe","Elias Diaz","Garrett Hampson",9300,27.7,3
"WSH","@PIT - Brubaker ( R )","Keibert Ruiz","Lucius Fox","Nelson Cruz",7900,27.7,3.5
"ATL","@SD - Musgrove ( R )","Alex Dickerson","Dansby Swanson","Eddie Rosario",7700,27.7,3.6
"COL","CHC - Steele ( L )","Connor Joe","Randal Grichuk","Yonathan Daza",9100,27.6,3
"DET","@KC - Greinke ( R )","Austin Meadows","Dustin Garneau","Javier Baez",8500,27.6,3.3
"TEX","LAA - Ohtani ( R )","Marcus Semien","Mitch Garver","Willie Calhoun",8600,27.6,3.2
"WSH","@PIT - Brubaker ( R )","Dee Strange-Gordon","Maikel Franco","Nelson Cruz",7600,27.6,3.6
"PIT","WAS - Adon ( R )","Andrew Knapp","Bryan Reynolds","Dan Vogelbach",7100,27.6,3.9
"LAA","@TEX - Dunning ( R )","Andrew Velazquez","Brandon Marsh","Jo Adell",6700,27.6,4.1
"PHI","@MIA - Alcantara ( R )","Alec Bohm","Bryce Harper","Rhys Hoskins",10500,27.6,2.6
"LAD","CIN - Cessa ( R )","Edwin Rios","Freddie Freeman","Mookie Betts",9200,27.6,3
"SD","ATL - Morton ( R )","Austin Nola","Luke Voit","Manny Machado",9600,27.6,2.9
"CHC","@COL - Freeland ( L )","Jason Heyward","Nico Hoerner","Seiya Suzuki",9300,27.6,3
"PIT","WAS - Adon ( R )","Ben Gamel","Cole Tucker","Hoy Park",6500,27.6,4.2
"MIA","PHI - Gibson ( R )","Avisail Garcia","Joey Wendle","Miguel Rojas",7200,27.6,3.8
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Johan Camargo","Kyle Schwarber",9200,27.6,3
"NYY","TOR - Gausman ( R )","Aaron Hicks","Giancarlo Stanton","Kyle Higashioka",8200,27.6,3.4
"PIT","WAS - Adon ( R )","Ben Gamel","Kevin Newman","Roberto Perez",6900,27.6,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Jonathan Villar","Michael Hermosillo",8100,27.6,3.4
"SD","ATL - Morton ( R )","Eric Hosmer","Jurickson Profar","Manny Machado",9600,27.6,2.9
