"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"BOS","PHI","Bobby Dalbec","Trevor Story","Bryce Harper","Jean Segura",13600,57.5,4.2
"HOU","PHI","Jose Altuve","Kyle Tucker","Bryce Harper","Jean Segura",14500,57.5,4
"MIL","PHI","Christian Yelich","Hunter Renfroe","Bryce Harper","Jean Segura",13600,57.5,4.2
"MIL","PHI","Lorenzo Cain","Willy Adames","Bryce Harper","Rhys Hoskins",13200,57.5,4.4
"MIL","PHI","Christian Yelich","Lorenzo Cain","Bryce Harper","Nick Castellanos",13500,57.5,4.3
"BOS","PHI","Bobby Dalbec","Xander Bogaerts","Bryce Harper","Jean Segura",14100,57.5,4.1
"MIL","PHI","Hunter Renfroe","Willy Adames","Nick Castellanos","Rhys Hoskins",13500,57.5,4.3
"MIL","PHI","Kolten Wong","Rowdy Tellez","Bryce Harper","Nick Castellanos",13200,57.5,4.4
"PHI","TB","Bryce Harper","Nick Castellanos","Manuel Margot","Yandy Diaz",13600,57.5,4.2
"LAA","PHI","Matt Duffy","Shohei Ohtani","Bryce Harper","Nick Castellanos",14900,57.4,3.9
"PHI","TB","Bryce Harper","Johan Camargo","Brandon Lowe","Randy Arozarena",13000,57.4,4.4
"BOS","PHI","Enrique Hernandez","Trevor Story","Bryce Harper","Jean Segura",14400,57.4,4
"PHI","TB","Nick Castellanos","Rhys Hoskins","Manuel Margot","Wander Franco",14300,57.4,4
"KC","PHI","Andrew Benintendi","Salvador Perez","Bryce Harper","Rhys Hoskins",14400,57.4,4
"BOS","PHI","Trevor Story","Xander Bogaerts","J.T. Realmuto","Nick Castellanos",14500,57.4,4
"COL","PHI","Charlie Blackmon","Sam Hilliard","Bryce Harper","Rhys Hoskins",13600,57.4,4.2
"BOS","PHI","Enrique Hernandez","Xander Bogaerts","Bryce Harper","Jean Segura",14900,57.4,3.9
"PHI","SD","Bryce Harper","J.T. Realmuto","Manny Machado","Trent Grisham",14700,57.4,3.9
"HOU","PHI","Jose Altuve","Yordan Alvarez","Nick Castellanos","Rhys Hoskins",14800,57.4,3.9
"PHI","TOR","Bryce Harper","J.T. Realmuto","Bo Bichette","Lourdes Gurriel",14800,57.4,3.9
"BOS","PHI","Bobby Dalbec","J.D. Martinez","Bryce Harper","Jean Segura",14300,57.4,4
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","Kyle Schwarber",14000,57.4,4.1
"CHC","PHI","Patrick Wisdom","Willson Contreras","Bryce Harper","Nick Castellanos",14400,57.4,4
"KC","PHI","Adalberto Mondesi","Whit Merrifield","Bryce Harper","Nick Castellanos",13800,57.4,4.2
"MIL","PHI","Andrew McCutchen","Lorenzo Cain","Bryce Harper","Rhys Hoskins",13100,57.4,4.4
"BOS","PHI","Alex Verdugo","Trevor Story","Bryce Harper","Nick Castellanos",14800,57.4,3.9
"MIL","PHI","Andrew McCutchen","Hunter Renfroe","Nick Castellanos","Rhys Hoskins",13400,57.4,4.3
"MIL","PHI","Christian Yelich","Lorenzo Cain","Bryce Harper","Rhys Hoskins",13200,57.4,4.3
"HOU","PHI","Alex Bregman","Kyle Tucker","Bryce Harper","J.T. Realmuto",14900,57.3,3.8
"MIL","PHI","Kolten Wong","Rowdy Tellez","Bryce Harper","Rhys Hoskins",12900,57.3,4.4
"MIL","PHI","Omar Narvaez","Willy Adames","Bryce Harper","Nick Castellanos",13400,57.3,4.3
"PHI","TB","Bryce Harper","Rhys Hoskins","Manuel Margot","Yandy Diaz",13300,57.3,4.3
"HOU","PHI","Jose Altuve","Kyle Tucker","Nick Castellanos","Rhys Hoskins",14400,57.3,4
"MIL","PHI","Christian Yelich","Hunter Renfroe","Nick Castellanos","Rhys Hoskins",13500,57.3,4.2
"BOS","PHI","J.D. Martinez","Trevor Story","J.T. Realmuto","Nick Castellanos",14700,57.3,3.9
"BOS","PHI","Bobby Dalbec","Trevor Story","Nick Castellanos","Rhys Hoskins",13500,57.3,4.2
