"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Mack Hollins","WR","ATL",5400,5.27,1,"92765-25267","CAR",39.5,-3.5,21.5
"John Metchie","WR","HOU",5100,5.27,1,"92765-102696","@BAL",43.5,10,16.75
"Cordarrelle Patterson","RB","ATL",5400,5.23,1,"92765-30733","CAR",39.5,-3.5,21.5
"Rashaad Penny","RB","PHI",5600,5.03,0.9,"92765-57840","@NE",45,-4,24.5
"Kendre Miller","RB","NO",5200,4.9,0.9,"92765-120657","TEN",41,-3,22
"Luke Musgrave","TE","GB",4500,4.84,1.1,"92765-113228","@CHI",43,1,21
"Chase Claypool","WR","CHI",5300,4.76,0.9,"92765-73111","GB",43,-1,22
"Allen Robinson","WR","PIT",5100,4.76,0.9,"92765-28643","SF",41,2.5,19.25
"Mike Gesicki","TE","NE",4800,4.5,0.9,"92765-56265","PHI",45,4,20.5
"Isaiah McKenzie","WR","IND",5000,4.38,0.9,"92765-53639","JAX",45,5,20
"Chase Edmonds","RB","TB",4900,4.35,0.9,"92765-83081","@MIN",45.5,6,19.75
"Kylen Granson","TE","IND",4200,4.29,1,"92765-71143","JAX",45,5,20
"Austin Hooper","TE","LV",4800,4.21,0.9,"92765-40126","@DEN",44,4,20
"Joshua Kelley","RB","LAC",5200,4.14,0.8,"92765-91872","MIA",51,-3,27
"Trey McBride","TE","ARI",4700,4.05,0.9,"92765-91750","@WAS",38,7,15.5
"Greg Dortch","WR","ARI",5000,3.94,0.8,"92765-69558","@WAS",38,7,15.5
"Ty Chandler","RB","MIN",4900,3.93,0.8,"92765-87371","TB",45.5,-6,25.75
"Michael Wilson","WR","ARI",4100,3.91,1,"92765-89612","@WAS",38,7,15.5
"Nick Westbrook-Ikhine","WR","TEN",4900,3.87,0.8,"92765-64389","@NO",41,3,19
"Trey Palmer","WR","TB",4400,3.79,0.9,"92765-102902","@MIN",45.5,6,19.75
"Taysom Hill","TE","NO",6000,3.75,0.6,"92765-45565","TEN",41,-3,22
"Keaontay Ingram","RB","ARI",5300,3.68,0.7,"92765-92545","@WAS",38,7,15.5
"Tyjae Spears","RB","TEN",5300,3.48,0.7,"92765-107293","@NO",41,3,19
"Josh Downs","WR","IND",4900,3.47,0.7,"92765-129305","JAX",45,5,20
"Tank Dell","WR","HOU",4900,3.41,0.7,"92765-129291","@BAL",43.5,10,16.75
"Isaiah Likely","TE","BAL",4700,3.41,0.7,"92765-87260","HOU",43.5,-10,26.75
"Laviska Shenault","WR","CAR",5000,3.4,0.7,"92765-87859","@ATL",39.5,3.5,18
"Michael Mayer","TE","LV",4700,3.32,0.7,"92765-138998","@DEN",44,4,20
"Jerome Ford","RB","CLE",5100,3.19,0.6,"92765-90533","CIN",47.5,2.5,22.5
"Zamir White","RB","LV",5700,3.17,0.6,"92765-91578","@DEN",44,4,20
"Cedrick Wilson","WR","MIA",4600,3.08,0.7,"92765-69581","@LAC",51,3,24
"Chris Moore","WR","TEN",4500,3.04,0.7,"92765-33047","@NO",41,3,19
"Roschon Johnson","RB","CHI",4200,3.03,0.7,"92765-103187","GB",43,-1,22
"Quez Watkins","WR","PHI",5100,2.86,0.6,"92765-73687","@NE",45,-4,24.5
"Mo Alie-Cox","TE","IND",4600,2.81,0.6,"92765-24533","JAX",45,5,20
"Adam Trautman","TE","DEN",4400,2.81,0.6,"92765-130270","LV",44,-4,24
"Noah Brown","WR","HOU",4600,2.79,0.6,"92765-56248","@BAL",43.5,10,16.75
"Jauan Jennings","WR","SF",4700,2.76,0.6,"92765-61593","@PIT",41,-2.5,21.75
"Isaiah Spiller","RB","LAC",4700,2.74,0.6,"92765-114100","MIA",51,-3,27
"Durham Smythe","TE","MIA",4600,2.69,0.6,"92765-42046","@LAC",51,3,24
"Will Dissly","TE","SEA",4500,2.65,0.6,"92765-56708","LAR",46,-5.5,25.75
"Zach Pascal","WR","ARI",4900,2.54,0.5,"92765-53390","@WAS",38,7,15.5
"Chase Brown","RB","CIN",4700,2.53,0.5,"92765-89493","@CLE",47.5,-2.5,25
"Donald Parham","TE","LAC",4400,2.39,0.5,"92765-104278","MIA",51,-3,27
"Trayveon Williams","RB","CIN",4800,2.38,0.5,"92765-69860","@CLE",47.5,-2.5,25
"Colby Parkinson","TE","SEA",4500,2.1,0.5,"92765-89588","LAR",46,-5.5,25.75
"Calvin Austin","WR","PIT",4300,2.1,0.5,"92765-90870","SF",41,2.5,19.25
"Brevin Jordan","TE","HOU",4200,2.09,0.5,"92765-94094","@BAL",43.5,10,16.75
"Brandon Johnson","WR","DEN",4200,2.07,0.5,"92765-71241","LV",44,-4,24
"Raheem Blackshear","RB","CAR",4500,2.03,0.5,"92765-92590","@ATL",39.5,3.5,18
"Marquise Goodwin","WR","CLE",4600,1.96,0.4,"92765-32243","CIN",47.5,2.5,22.5
"Trenton Irwin","WR","CIN",4600,1.95,0.4,"92765-64905","@CLE",47.5,-2.5,25
"Ameer Abdullah","RB","LV",5300,1.72,0.3,"92765-27229","@DEN",44,4,20
"Chris Evans","RB","CIN",4200,1.35,0.3,"92765-73130","@CLE",47.5,-2.5,25
