"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Noah Brown","WR","WAS",4200,4.57,1.1,"105738-56248","@TB",43.5,3.5,20,0.23
"Alec Pierce","WR","IND",5100,4.52,0.9,"105738-86312","HOU",49,2.5,23.25,1.72
"Jalin Hyatt","WR","NYG",4800,4.4,0.9,"105738-139094","MIN",41.5,1,20.25,0.79
"Zach Ertz","TE","WAS",4800,4.28,0.9,"105738-29780","@TB",43.5,3.5,20,0.57
"Miles Sanders","RB","CAR",5300,4.21,0.8,"105738-71845","@NO",40,4.5,17.75,8.57
"Bucky Irving","RB","TB",5000,4.21,0.8,"105738-152664","WAS",43.5,-3.5,23.5,0
"Mike Gesicki","TE","CIN",4900,4.21,0.9,"105738-56265","NE",40.5,-9,24.75,2.32
"Alexander Mattison","RB","LV",5200,4.2,0.8,"105738-72776","@LAC",41,3.5,18.75,10.13
"Trey Palmer","WR","TB",4500,4.19,0.9,"105738-102902","WAS",43.5,-3.5,23.5,0.7
"D'Onta Foreman","RB","CLE",5200,4.18,0.8,"105738-55830","DAL",42,-2.5,22.25,0
"Ray Davis","RB","BUF",4900,4.17,0.9,"105738-103694","ARI",48,-6,27,0
"Kalif Raymond","WR","DET",4900,4.15,0.8,"105738-70422",NA,NA,NA,NA,0.7
"Kylen Granson","TE","IND",4700,4.05,0.9,"105738-71143","HOU",49,2.5,23.25,1.92
"Jalen Tolbert","WR","DAL",4700,3.87,0.8,"105738-88548","@CLE",42,2.5,19.75,0.09
"Ben Sinnott","TE","WAS",4400,3.72,0.8,"105738-137265","@TB",43.5,3.5,20,0
"Van Jefferson","WR","PIT",5000,3.71,0.7,"105738-64581","@ATL",41,3,19,1.96
"Dyami Brown","WR","WAS",4100,3.69,0.9,"105738-93538","@TB",43.5,3.5,20,0.04
"Greg Dulcich","TE","DEN",4600,3.65,0.8,"105738-91931","@SEA",42,5.5,18.25,2.35
"Jermaine Burton","WR","CIN",4800,3.62,0.8,"105738-133484","NE",40.5,-9,24.75,0
"Roschon Johnson","RB","CHI",5000,3.6,0.7,"105738-103187","TEN",45.5,-4.5,25,0.08
"Ray-Ray McCloud","WR","ATL",4300,3.55,0.8,"105738-62055","PIT",41,-3,22,0.04
"Jonathan Mingo","WR","CAR",4400,3.54,0.8,"105738-112192","@NO",40,4.5,17.75,2.3
"Gerald Everett","TE","CHI",4600,3.53,0.8,"105738-57299","TEN",45.5,-4.5,25,3.44
"Dawson Knox","TE","BUF",4800,3.45,0.7,"105738-64585","ARI",48,-6,27,4.25
"Johnny Mundt","TE","MIN",4400,3.45,0.8,"105738-40371","@NYG",41.5,-1,21.25,0.02
"Luke McCaffrey","WR","WAS",4200,3.42,0.8,"105738-103547","@TB",43.5,3.5,20,0
"Tyrone Tracy","RB","NYG",5000,3.39,0.7,"105738-86153","MIN",41.5,1,20.25,0
"Dameon Pierce","RB","HOU",5100,3.34,0.7,"105738-86055","@IND",49,-2.5,25.75,6.12
"Treylon Burks","WR","TEN",4500,3.31,0.7,"105738-110259","@CHI",45.5,4.5,20.5,5.94
"Cedrick Wilson","WR","NO",4300,3.21,0.7,"105738-69581","CAR",40,-4.5,22.25,0
"A.T. Perry","WR","NO",4200,3.03,0.7,"105738-87621","CAR",40,-4.5,22.25,0
"Daniel Bellinger","TE","NYG",5000,3.01,0.6,"105738-90307","MIN",41.5,1,20.25,0.46
"Theo Johnson","TE","NYG",4400,3.01,0.7,"105738-128810","MIN",41.5,1,20.25,0
"Braxton Berrios","WR","MIA",4100,2.96,0.7,"105738-52495","JAX",49.5,-3,26.25,0.54
"Tank Bigsby","RB","JAX",4900,2.91,0.6,"105738-128693","@MIA",49.5,3,23.25,0.51
"Josh Oliver","TE","MIN",4300,2.9,0.7,"105738-63907","@NYG",41.5,-1,21.25,0.18
"Jalen Nailor","WR","MIN",4200,2.9,0.7,"105738-92859","@NYG",41.5,-1,21.25,0
"Tommy Tremble","TE","CAR",4800,2.85,0.6,"105738-91101","@NO",40,4.5,17.75,0.16
"Will Dissly","TE","LAC",4300,2.75,0.6,"105738-56708","LV",41,-3.5,22.25,0.41
"Troy Franklin","WR","DEN",4200,2.73,0.7,"105738-151903","@SEA",42,5.5,18.25,0
"Calvin Austin","WR","PIT",4200,2.73,0.7,"105738-90870","@ATL",41,3,19,0.25
"Audric Estime","RB","DEN",4800,2.71,0.6,"105738-157150","@SEA",42,5.5,18.25,0
"Durham Smythe","TE","MIA",4300,2.71,0.6,"105738-42046","JAX",49.5,-3,26.25,1.33
"Tanner Hudson","TE","CIN",4300,2.7,0.6,"105738-83117","NE",40.5,-9,24.75,0
"Brenden Rice","WR","LAC",4000,2.7,0.7,"105738-135916","LV",41,-3.5,22.25,0
"Michael Mayer","TE","LV",4900,2.67,0.5,"105738-138998","@LAC",41,3.5,18.75,2.17
"Kimani Vidal","RB","LAC",4900,2.63,0.5,"105738-128633","LV",41,-3.5,22.25,0
"Ty Johnson","RB","BUF",4400,2.63,0.6,"105738-63050","ARI",48,-6,27,0
"Ja'Tavion Sanders","TE","CAR",4500,2.62,0.6,"105738-158983","@NO",40,4.5,17.75,0
"Cedric Tillman","WR","CLE",4200,2.62,0.6,"105738-87432","DAL",42,-2.5,22.25,0.1
"Parker Washington","WR","JAX",4400,2.55,0.6,"105738-137516","@MIA",49.5,3,23.25,0
"Malik Washington","WR","MIA",4000,2.4,0.6,"105738-110974","JAX",49.5,-3,26.25,0
"Marquez Valdes-Scantling","WR","BUF",4900,2.37,0.5,"105738-40647","ARI",48,-6,27,2.9
"Tutu Atwell","WR","LAR",4800,2.37,0.5,"105738-92976",NA,NA,NA,NA,2.87
"Mack Hollins","WR","BUF",4100,2.37,0.6,"105738-25267","ARI",48,-6,27,0.67
"Adam Trautman","TE","DEN",4100,2.34,0.6,"105738-130270","@SEA",42,5.5,18.25,0.81
"Olamide Zaccheaus","WR","WAS",4400,2.26,0.5,"105738-64496","@TB",43.5,3.5,20,0.14
"KhaDarel Hodge","WR","ATL",4300,2.25,0.5,"105738-85306","PIT",41,-3,22,0.01
"Foster Moreau","TE","NO",4400,2.23,0.5,"105738-60712","CAR",40,-4.5,22.25,0.79
"Eric Gray","RB","NYG",4400,2.19,0.5,"105738-102928","MIN",41.5,1,20.25,0
"Davis Allen","TE","LAR",4300,2.17,0.5,"105738-102831",NA,NA,NA,NA,0.04
"Jake Bobo","WR","SEA",4100,2.15,0.5,"105738-93150","DEN",42,-5.5,23.75,1.24
"Zay Jones","WR","ARI",4600,2.14,0.5,"105738-41305","@BUF",48,6,21,0
"Cordarrelle Patterson","RB","PIT",4700,2.13,0.5,"105738-30733","@ATL",41,3,19,0
"Deuce Vaughn","RB","DAL",4700,2.12,0.5,"105738-137254","@CLE",42,2.5,19.75,0.02
"Nick Westbrook-Ikhine","WR","TEN",4700,2.1,0.4,"105738-64389","@CHI",45.5,4.5,20.5,0.3
"KaVontae Turpin","WR","DAL",4300,2.1,0.5,"105738-60957","@CLE",42,2.5,19.75,0
"Brevin Jordan","TE","HOU",4200,2.08,0.5,"105738-94094","@IND",49,-2.5,25.75,0.41
"Austin Hooper","TE","NE",4500,2.02,0.4,"105738-40126","@CIN",40.5,9,15.75,1.27
"Darnell Washington","TE","PIT",4400,2.01,0.5,"105738-133477","@ATL",41,3,19,0.3
"Trenton Irwin","WR","CIN",4400,2,0.5,"105738-64905","NE",40.5,-9,24.75,0.06
"Trey Sermon","RB","IND",4800,1.99,0.4,"105738-86646","HOU",49,2.5,23.25,0
"Josh Whyle","TE","TEN",4300,1.94,0.5,"105738-86255","@CHI",45.5,4.5,20.5,0.12
"Pierre Strong","RB","CLE",4300,1.94,0.5,"105738-160306","DAL",42,-2.5,22.25,0.01
"Brandon Powell","WR","MIN",4300,1.94,0.5,"105738-52345","@NYG",41.5,-1,21.25,0.01
"Chris Moore","WR","ARI",4100,1.94,0.5,"105738-33047","@BUF",48,6,21,0.21
"Tyquan Thornton","WR","NE",4000,1.94,0.5,"105738-89220","@CIN",40.5,9,15.75,0
"Javon Baker","WR","NE",4900,1.89,0.4,"105738-138746","@CIN",40.5,9,15.75,0
"Lucas Krull","TE","DEN",4300,1.88,0.4,"105738-86075","@SEA",42,5.5,18.25,0
"Elijah Higgins","WR","ARI",4200,1.85,0.4,"105738-102986","@BUF",48,6,21,0
"Jaylen Wright","RB","MIA",4700,1.82,0.4,"105738-152103","JAX",49.5,-3,26.25,0
"Emari Demercado","RB","ARI",4400,1.8,0.4,"105738-94579","@BUF",48,6,21,0
