"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"TE","Pharaoh Brown","SEA","DEN",4300,1.75,0.4,42,-5.5,23.75,0
"TE","Will Mallory","IND","HOU",4200,1.74,0.4,49,2.5,23.25,0
"TE","Mo Alie-Cox","IND","HOU",4600,1.72,0.4,49,2.5,23.25,0.41
"WR","John Metchie","HOU","@IND",4100,1.66,0.4,49,-2.5,25.75,0
"WR","Tyler Scott","CHI","TEN",4400,1.64,0.4,45.5,-4.5,25,1.59
"WR","Trent Sherfield Sr.","MIN","@NYG",4100,1.63,0.4,41.5,-1,21.25,NA
"RB","Dylan Laube","LV","@LAC",4300,1.57,0.4,41,3.5,18.75,0
"TE","Luke Schoonmaker","DAL","@CLE",4500,1.56,0.3,42,2.5,19.75,0.05
"TE","Drew Sample","CIN","NE",4200,1.5,0.4,40.5,-9,24.75,0.15
"TE","Jordan Akins","CLE","DAL",4500,1.49,0.3,42,-2.5,22.25,0.51
"TE","Brock Wright","DET",NA,4300,1.49,0.3,NA,NA,NA,0.37
"WR","Ashton Dulin","IND","HOU",4100,1.45,0.4,49,2.5,23.25,0
