"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","SPRD","IMP","Roster"
"Jaden Ivey","PG/SG","DET",6400,30.4,4.7,"33277228","PG/SG","SG","PG","@NYK",210.5,17,96.75,9.5
"Miles McBride","PG/SG","NY",5400,29.68,5.5,"33277332","PG/SG","SG","PG","DET",210.5,-17,113.75,3.63
"Brandon Miller","SG/SF","CHA",6800,29.6,4.4,"33277185","SG/SF","SF","SG","@CLE",206.5,11.5,97.5,2.25
"Aaron Gordon","PF","DEN",6400,29.46,4.6,"33277214","PF","","PF","MEM",213,-15.5,114.25,6.43
"James Wiseman","C","DET",5700,29.38,5.2,"33277299","C","","C","@NYK",210.5,17,96.75,3.26
"Dalano Banton","PG/SG","POR",5900,29.25,5,"33277270","PG/SG","SG","PG","@HOU",225,12.5,106.25,4.42
"Jeremy Sochan","SF/PF","SA",5900,29.15,4.9,"33277281","SF/PF","PF","SF","PHX",234,13,110.5,8.35
"Bruce Brown","PG/SF","TOR",6200,29.12,4.7,"33277239","PG/SF","SF","PG","BKN",219.5,6.5,106.5,6.52
"Isaiah Hartenstein","C","NY",5600,28.99,5.2,"33277304","C","","C","DET",210.5,-17,113.75,2.25
"Zach Collins","C","SA",5000,28.95,5.8,"33277375","C","","C","PHX",234,13,110.5,4.08
"Daniel Gafford","C","DAL",5900,28.9,4.9,"33277265","C","","C","@UTA",237.5,-8.5,123,3.4
"John Collins","C","UTA",6700,28.69,4.3,"33277200","C","","C","DAL",237.5,8.5,114.5,2.5
"Alex Caruso","SG/SF","CHI",6000,28.57,4.8,"33277256","SG/SF","SF","SG","WAS",226.5,-12.5,119.5,7.27
"Duop Reath","C","POR",4900,28.36,5.8,"33277381","C","","C","@HOU",225,12.5,106.25,0.29
"Keldon Johnson","SF","SA",5400,28.17,5.2,"33277323","SF","","SF","PHX",234,13,110.5,8.95
"Evan Mobley","PF/C","CLE",7300,28.08,3.8,"33277125","PF/C","C","PF","CHA",206.5,-11.5,109,9.09
"Marcus Sasser","PG/SG","DET",4700,27.88,5.9,"33277401","PG/SG","SG","PG","@NYK",210.5,17,96.75,2.12
"Al Horford","PF/C","BOS",6200,27.53,4.4,"33277235","PF/C","C","PF","@ATL",225,-10.5,117.75,5.62
"De'Andre Hunter","SF/PF","ATL",6000,27.5,4.6,"33277261","SF/PF","PF","SF","BOS",225,10.5,107.25,7.84
"Chimezie Metu","PF/C","DET",4100,27.39,6.7,"33277511","PF/C","C","PF","@NYK",210.5,17,96.75,5.56
"Jock Landale","C","HOU",5300,27.24,5.1,"33277361","C","","C","POR",225,-12.5,118.75,2.16
"Santi Aldama","PF/C","MEM",6500,26.63,4.1,"33277202","PF/C","C","PF","@DEN",213,15.5,98.75,5.88
"Grayson Allen","SG/SF","PHX",6100,26.3,4.3,"33277244","SG/SF","SF","SG","@SAS",234,-13,123.5,7.08
"Tre Mann","PG/SG","CHA",6000,26.23,4.4,"33277252","PG/SG","SG","PG","@CLE",206.5,11.5,97.5,4.78
"Corey Kispert","SF/PF","WAS",5500,26.21,4.8,"33277326","SF/PF","PF","SF","@CHI",226.5,12.5,107,6.99
"P.J. Washington","PF/C","DAL",5200,25.8,5,"33277347","PF/C","C","PF","@UTA",237.5,-8.5,123,10.09
"Nick Richards","C","CHA",5500,25.41,4.6,"33277330","C","","C","@CLE",206.5,11.5,97.5,3.36
"Vasilije Micic","PG","CHA",5600,25.25,4.5,"33277313","PG","","PG","@CLE",206.5,11.5,97.5,0.97
"Ochai Agbaji","SF/PF","TOR",5100,24.02,4.7,"33277351","SF/PF","PF","SF","BKN",219.5,6.5,106.5,5.67
"Jabari Walker","PF/C","POR",4600,23.87,5.2,"33277410","PF/C","C","PF","@HOU",225,12.5,106.25,3.33
"Gradey Dick","SG/SF","TOR",5300,23.8,4.5,"33277339","SG/SF","SF","SG","BKN",219.5,6.5,106.5,2.29
"Kris Murray","SF","POR",4300,23.35,5.4,"33277486","SF","","SF","@HOU",225,12.5,106.25,0.8
"Richaun Holmes","C","WAS",4800,23.3,4.9,"33277383","C","","C","@CHI",226.5,12.5,107,1.51
"Dorian Finney-Smith","PF","BKN",4200,23.28,5.5,"33277465","PF","","PF","@TOR",219.5,-6.5,113,4
