"Pos","Player","Team","Opp","Salary","Proj","Value"
"C","Precious Achiuwa","TOR","PHI",5400,21.06,3.9
"SG/SF","Terrence Ross","ORL","@CLE",5200,21.03,4
"C","Andre Drummond","CHI","IND",4400,20.93,4.8
"SF","Jaden McDaniels","MIN","SA",4900,20.78,4.2
"C","Jalen Duren","DET","ATL",4800,20.78,4.3
"PF","Max Strus","MIA","@POR",4800,20.29,4.2
"PG/SG","Kendrick Nunn","LAL","@DEN",3500,20.1,5.7
"PF","Tari Eason","HOU","@UTA",4700,19.93,4.2
"SF/PF","Cedi Osman","CLE","ORL",4800,19.84,4.1
"PG","Immanuel Quickley","NY","CHA",4300,19.54,4.5
"PG/SG","Joshua Primo","SA","@MIN",4000,19.35,4.8
"C","Day'Ron Sharpe","BKN","@MIL",3800,19.15,5
"C","Zach Collins","SA","@MIN",3800,19.12,5
"SF/PF","Jeremy Sochan","SA","@MIN",4100,19.09,4.7
"SF/PF","Justise Winslow","POR","MIA",4100,18.7,4.6
"C","Onyeka Okongwu","ATL","@DET",4000,18.37,4.6
"PG/SG","Bones Hyland","DEN","LAL",3900,18.21,4.7
"SG/SF","Bennedict Mathurin","IND","@CHI",6200,17.95,2.9
"PG/SG","Alex Caruso","CHI","IND",4100,17.93,4.4
"PF/C","Isaiah Jackson","IND","@CHI",4600,17.69,3.8
"SG","Malik Beasley","UTA","HOU",4200,17.38,4.1
"PF","Juan Toscano-Anderson","LAL","@DEN",3100,17.29,5.6
"SG/SF","Chris Duarte","IND","@CHI",4300,17.19,4
"SG/SF","Austin Reaves","LAL","@DEN",3300,16.43,5
"C","Usman Garuba","HOU","@UTA",4000,16.13,4
"PG","Gabe Vincent","MIA","@POR",4000,15.92,4
"SG","Joe Harris","BKN","@MIL",4900,15.91,3.2
"PG","T.J. McConnell","IND","@CHI",3700,15.76,4.3
"PF/C","Obi Toppin","NY","CHA",4100,15.63,3.8
"PF/C","P.J. Tucker","PHI","@TOR",3800,15.19,4
"PF/C","Chris Boucher","TOR","PHI",4700,15.16,3.2
"SF","Doug McDermott","SA","@MIN",3700,15.1,4.1
